Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
8.881, 0.6846577589723356, 0.39, -0.03086146484534012, -6.480907617521426, 147, 178, 7.709241740483455e-05, 31, 19
8.923999999999999, 0.6878342582109652, 0.28, -0.1408614648453401, -29.58090761752143, 155, 167, 7.707690029257791e-05, 31, 21
8.965, 0.6910107574495949, 0.21, -0.2108614648453401, -44.28090761752143, 179, 143, 7.707872364189571e-05, 31, 41
9.005000000000001, 0.6939429105929454, 0.27, -0.1508614648453401, -31.68090761752143, 191, 112, 7.706195564607944e-05, 31, 43
9.045, 0.6968750637362959, 0.33, -0.09086146484534012, -19.08090761752143, 199, 109, 7.704533595757833e-05, 31, 23
9.083, 0.7002959090702047, 0.36, -0.06086146484534012, -12.78090761752143, 185, 146, 7.709962667292796e-05, 31, 48
9.127000000000001, 0.703961100499393, 0.4699999999999999, 0.04913853515465988, 10.31909238247857, 176, 149, 7.712951687294762e-05, 32, 18
9.164999999999999, 0.7068932536427433, 0.48, 0.05913853515465988, 12.41909238247858, 161, 163, 7.712965124307075e-05, 32, 27
9.202, 0.7098254067860939, 0.52, 0.09913853515465988, 20.81909238247858, 153, 178, 7.713816635362897e-05, 32, 23
9.242000000000001, 0.7127575599294442, 0.4, -0.02086146484534012, -4.380907617521426, 145, 176, 7.712157108087473e-05, 33, 11
9.279, 0.7154453669775155, 0.34, -0.08086146484534012, -16.98090761752143, 140, 166, 7.710371451422735e-05, 33, 17
9.318, 0.7186218662161452, 0.3, -0.1208614648453401, -25.38090761752143, 175, 139, 7.712190021637102e-05, 33, 56
9.355, 0.7213096732642165, 0.29, -0.1308614648453401, -27.48090761752143, 175, 138, 7.710418741466772e-05, 33, 9
9.395, 0.7244861725028461, 0.35, -0.07086146484534011, -14.88090761752143, 183, 142, 7.71140151679453e-05, 33, 13
9.436999999999999, 0.7276626717414758, 0.4600000000000001, 0.03913853515465988, 8.219092382478575, 185, 139, 7.710741461708974e-05, 34, 7
9.476000000000001, 0.7308391709801056, 0.5699999999999999, 0.1491385351546599, 31.31909238247858, 168, 156, 7.712528186788789e-05, 34, 29
9.518000000000001, 0.7340156702187352, 0.6800000000000001, 0.2591385351546599, 54.41909238247858, 136, 183, 7.711868777250843e-05, 34, 58
9.555999999999999, 0.737192169457365, 0.7, 0.2791385351546599, 58.61909238247858, 125, 196, 7.714442962090468e-05, 34, 30
9.597, 0.7401243226007155, 0.6800000000000001, 0.2591385351546599, 54.41909238247858, 93, 208, 7.712038372415498e-05, 34, 44
9.635, 0.743300821839345, 0.62, 0.1991385351546599, 41.81909238247857, 101, 230, 7.714590781934043e-05, 34, 29
9.676, 0.7467216671732539, 0.5300000000000001, 0.1091385351546599, 22.91909238247857, 122, 220, 7.717255758301508e-05, 34, 31
9.717000000000001, 0.7498981664118835, 0.49, 0.06913853515465989, 14.51909238247858, 122, 182, 7.717383620581286e-05, 34, 38
9.756, 0.7525859734599548, 0.5, 0.07913853515465988, 16.61909238247858, 136, 170, 7.714083368798226e-05, 34, 27
9.795999999999999, 0.7555181266033053, 0.5300000000000001, 0.1091385351546599, 22.91909238247857, 139, 164, 7.712516604770369e-05, 34, 9
